,,,,,,
name,description,glassware,Ingredients,method,garnish,
Twinkle,Elegant and simple. Perfect for celebrations.,Sours Glass,Wyborowa,Add vodka and elderflower cordial,Large lemon twist,
,,,Elderflower cordial,"to shaker, shake and double strain into",,
,,,Perrier Jouet,"coupette, top champagne and garnish",,
,,,,,,
Somerset Sour,The sophisticated counterpoint to an Appletini.,Sours Glass,Somerset Brandy 5yr mix,"Add Somerset brandy, Cognac, lemon ",No Garnish,
,,,lemon juice,"juice, gomme and egg white.",,
,,,gomme,"Dry shake, add ice and strain into",,
,,,egg white,"coupette, top with 25ml cider",,
,,,Breton cider,garnish,,
,,,,,,
Jack Rose,A fruity cocktail that still packs a punch. Popular in the 1920's,Sours Glass,Somerset cider brandy 5yr,"Combine Somerset brandy, Cognac",No garnish,
,,,Merlet Cognac V.S.OP,lemon juice and grenadine in shaker,,
,,,lemon juice,shake hard and double strain into,,
,,,Grenadine,Sours glass,,
,,,,,,
White Lady,Timeless drink in the sour family. A gin sour accented with orange from the triple sec.,Sours Glass,Beefeater,"Combine Gin, Triple sec, lemon juice",Lemon twist (discard),
,,,Merlet Triple sec,"egg white and gomme in shaker,",,
,,,lemon juice,"dry shake, shake hard with ice",,
,,,Egg white,and strain into Sours glass and,,
,,,Gomme,garnish,,
,,,,,,
Corpse Reviver #2,A bright complex drink with a hint of anise.,Sours Glass,Beefeater,"Combine Gin, Lillet, Triple sec and",Lemon twist ,
,,,Merlet Triple sec,lemon juice and Absinthe in shaker,,
,,,Lillet blanc,shake and double strain into,,
,,,Lemon juice,Sours glass and garnish,,
,,,Pernod Absinthe,,,
,,,,,,
Pendennis Club,Fruity and not too sweet.,Sours Glass,Beefeater,"Combine Gin, Abricot, lime juice",Lime wedge,
,,,Briotette Abricot,gomme and Peychaud bitter,,
,,,Lime juice,"in shaker, shake and double strain",,
,,,Gomme,into Sours glass and garnish,,
,,,Peychaud bitters,,,
,,,,,,
Toreador,The next step once you've nailed your Margarita.,Sours Glass,Herradura blanco,"Combine Gin, Abricot, lime juice",Lime wedge,
,,,Briotette Abricot,gomme and Peychaud bitter,,
,,,Lime juice,"in shaker, shake and double strain",,
,,,Gomme,into Sours glass and garnish,,
,,,,,,
Scoff Law,A nice variation of a whiskey sour without egg whites.,Sours Glass,Four Roses small batch,"Combine Bourbon, dry Vermouth,",Lemon twist,
,,,Martini dry,lemon juice and grenadine in shaker,,
,,,Lemon juice,shake and double strain into ,,
,,,Homemade grenadine,Sours glass and garnish,,
,,,,,,
Clover Club,,Sours Glass,Beefeater,"Combine Gin, vermouth, lemon juice",No garnish,
,,,Martini Dry,"raspberry syrup, gomme and egg white",,
,,,Lemon juice,"in shaker, dry shake and shake with",,
,,,Egg White,"ice, strain in Sours glass ",,
,,,Raspberry syrup,,,
,,,Gomme,,,
,,,,,,
Perfect Lady,,Sours Glass,Beefeater,"Combine Gin, creme de Peche, lemon",No garnish,
,,,Merlet creme de Peche,"juice, egg white and gomme, dry shake",,
,,,Lemon juice,shake with cubed ice and strain ,,
,,,Egg white,into Sours glass,,
,,,Gomme,,,
,,,,,,
Gin Fizz,,Water Glass,Beefeater,"Combine Gin, lemon juice and ",No garnish,
,,,Lemon juice,"gomme in shaker, shake and double",,
,,,Gomme,"strain into water glass, add one cube of",,
,,,Soda water,ice and top with soda and stir,,
,,,,,,
Silver Fizz,,Water Glass,Beefeater,"Combine Gin, lemon juice and ",No garnish,
,,,Lemon juice,"gomme in shaker, dry shake, shake",,
,,,Egg white,with cubed ice and strain into,,
,,,Gomme,"water glass, add one cube of ice and",,
,,,Soda water,"top with soda, stir",,
,,,,,,
Hayes Fizz,,Water Glass,Beefeater,"Combine Gin, lemon juice, gomme ",No garnish,
,,,Lemon juice,"Absinthe in shaker, shake and strain",,
,,,Gomme,"into water glass, add one cube of ice",,
,,,Pernod Absinthe,top with soda and stir,,
,,,Soda water,,,
,,,,,,
Morning Glory Fizz,,Water Glass,Chivas 12yr,"Combine whisky, lemon juice, gomme ",No garnish,
,,,Lemon juice,"Absinthe in shaker, shake and strain",,
,,,Gomme,"into water glass, add one cube of ice",,
,,,Pernod Absinthe,top with soda and stir,,
,,,Soda water,,,
,,,,,,
Albermarle Fizz,,Water Glass,Beefeater,"Combine Gin, lemon juice, gomme ",No garnish,
,,,Lemon juice,"raspberry in shaker, shake and strain",,
,,,raspberry Syrup,"into water glass, add one cube of ice",,
,,,Gomme,top with soda and stir,,
,,,Soda water,,,
,,,,,,
Golden Fizz,,Water Glass,Beefeater,"Combine Gin, lemon juice, gomme ",No garnish,
,,,Lemon juice,"egg yoke in shaker, shake and strain",,
,,,Egg yoke,"into water glass, add one cube of ice",,
,,,Gomme,top with soda and stir,,
,,,Soda water,,,
,,,,,,
French 75,,Water Glass,Beefeater,"Combine Gin, lemon juice and gomme",Lemon twist,
,,,Lemon juice,"in shaker, shake and strain into",,
,,,Gomme,"champagne flute,",,
,,,Perrier Jouet N.V,"top with champagne and stir, garnish",,
,,,,,,
Chicago Fizz,,Water Glass,El Dorado 5yr,"Combine rum, lemon juice, egg white",Port reduction,
,,,Lemon juice,"and gomme in shaker, shake and strain",,
,,,Gomme,"into water glass, add one cube of ice",,
,,,Port reduction,top with soda and float port reduction,,
,,,Egg white,on top,,
,,,Soda water,,,
,,,,,,
Manhattan sweet,,Small Coupette,Four Roses Small batch,"Combine, Bourbon, vermouth, ",Marasca cherry,
,,,Martini Rosso,Maraschino and bitters in mixing glass,,
,,,Maraschino,"over cubed ice, stir and double strain",,
,,,Angostura Bitters,into small coupette and garnish,,
,,,,,,
Rum Manhattan,,Small Coupette,El Dorado 12yr,"Combine Rum, sweet vermouth, ",Marasca cherry,
,,,Martini Rosso,maraschino and bitters in mixing glass,,
,,,Maraschino,"over cubed ice, stir and double strain",,
,,,Angostura Bitters,into small coupette and garnish,,
,,,,,,
Martinez,,Small Coupette,Beefeater,"Combine Gin, Dubonnet, maraschino",Small lemon twist,
,,,Dubonnet,"and bitters in mixing glass and stir,",,
,,,Maraschino,double strain into small coupette,,
,,,Bokers Bitters,and garnish,,
,,,,,,
Brooklyn,,Small Coupette,Four Roses small batch,"Combine Bourbon, vermouth, Picon",Marasca cherry,
,,,Martini Rosso,maraschino and bitters in mixing glass,,
,,,Amer Picon,stir and double strain into small,,
,,,Maraschino,coupette and garnish,,
,,,Angostura Bitters,,,
,,,,,,
Harvard,,Small Coupette,Martel V.S.O.P,"Combine Cognac, vermouth and ",Small orange twist,
,,,Martini Rosso,"bitters in mixing glass, stir and double",,
,,,Angostura Bitters,"strain into small coupette, garnish",,
,,,,,,
Vieux Carre,,Rocks Glass,Four Roses small batch,"Combine Bourbon, cognac, vermouth",Large lemon twist,
,,,Martel V.S.O.P,benedictine and bitters in mixing glass,,
,,,Martini Rosso,stir and single strain into rocks glass,,
,,,Benedictine,over cubed ice and garnish,,
,,,Angostura Bitters,,,
,,,Peychaud Bitters,,,
,,,,,,
Negroni,,Rocks Glass,Beefeater,"Combine Gin, campari and vermouth",Orange slice,
,,,Campari,"in mixing glass, quick stir and strain",,
,,,Martini Rosso,into rocks over cubed ice and garnish,,
,,,,,,
Sazerac ,,Rocks Glass,Bourbon/rye,"Absinthe rinse the rocks glass, ",Lemon twist (discard),
(Bourbon/Rye),,,Gomme,"combine whisky, gomme and bitters",,
,,,Peychaud bitters,"in shaker, shake and double strain",,
,,,Pernod Absinthe,"into rocks glass (no ice), garnish",,
,,,,,,
Sazerac old version ,,Rocks Glass,Martell V.S.O.P,"Absinthe rinse the rocks glass, ",Lemon twist (discard),
,,,Gomme,"combine Cognac, gomme and bitters",,
,,,Peychaud bitters,"in shaker, shake and double strain",,
,,,Pernod Absinthe,"into rocks glass (no ice), garnish",,
,,,,,,
Sazerac (Degroff) ,,Rocks Glass,Martell V.S.O.P,"Absinthe rinse the rocks glass, ",Lemon twist (discard),
,,,Four Roses small batch,"combine, cognac, bourbon, gomme",,
,,,Gomme,"and bitters in shaker, shake and double",,
,,,Peychaud bitters,"strain into rocks glass (no ice), garnish",,
,,,Pernod Absinthe,,,
,,,,,,
Old Fashioned,,Rocks Glass,Four Roses small batch,Combine gomme and bitters in mixing,Large cut orange twist,
,,,Gomme,"glass, stir to dillute and mix, add 25ml",,
,,,Angostura bitters,"of bourbon, stir to dilute and mix",,
,,,,"throuroughly, add remaining 25ml of",,
,,,,"bourbon, stir, strain and garnish",,
,,,,,,
Rum Old Fashioned,,Rocks Glass,El Dorado 12yr,Combine gomme and bitters in mixing,Large cut orange twist,
,,,Gomme,"glass, stir to dillute and mix, add 25ml",,
,,,Angostura bitters,"of Rum, stir to dilute and mix",,
,,,,"throuroughly, add remaining 25ml of",,
,,,,"Rum, stir, strain and garnish",,
,,,,,,
Remember the Maine,,Small Coupette,Four Roses small batch,"Combine, Bourbon, vermouth, ",Small lemon twist,
,,,Martini Rosso,cherry heering and absinthe in mixing,,
,,,Cherry Heering,"glass, stir and double strain into ",,
,,,Pernod Absinthe,small coupette and garnish,,
,,,,,,
Martini (House style),,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Small lemon twist,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Martini (Extra dry),,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Small lemon twist,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Martini (Vodka) or,,Small Coupette,Wyborowa,Combine Vodka and vermouth in ,Small lemon twist,
Kangaroo,,,Martini Dry,"shaker, stir till chilled and double",,
,,,,strain into small coupette and garnish,,
,,,,,,
Dirty Martini,,Small Coupette,Wyborowa/Beefeater,"Combine Vodka/Gin and vermouth, brine ",Two olives,
,,,Martini Dry,"in shaker, stir till chilled and double",,
,,,Olive Brine,strain into small coupette and garnish,,
,,,,,,
Gibson,,Small Coupette,Beefeater,Combine Gin and vermouth in shaker,Cocktail onion,
,,,Martini Dry,stir till chilled and double strain into,,
,,,,small coupette and garnish,,
,,,,,,
Vesper,,Small Coupette,Beefeater,"Combine Gin, vodka and Lillet in shaker",Small lemon twist,
,,,Wyborowa,stir till chilled and double strain into,,
,,,Lillet Blanc,small coupette and garnish,,
,,,,,,
Tuxedo,,Small Coupette,Beefeater,"Combine Gin, vermouth, maraschino",Small lemon twist,
,,,Martini Dry,"bitters and Absinthe, in mixing glass",,
,,,Maraschino,stir and doublestrain into small ,,
,,,Orange bitters,coupette and garnish,,
,,,Pernod Absinthe,,,
,,,,,,
Hanky Panky,,Small Coupette,Beefeater,"Combine Gin, vermouth and Fernet",Small orange twist,
,,,Dubonnet,"in mixing glass, stri and double strain",,
,,,Fernet Branca,into small coupette and garnish,,
,,,,,,
Classic Champagne,,Champagne flute,Martell V.S.O.P,"On a bev nap, soak sugar cube in",Small orange twist (discard),
Cocktail,,,Perrier Jouet N.V,Angostura bitters and place in flute,,
,,,White sugar cube,add cognac and top with champagne,,
,,,Angostura bitters,and garnish,,
,,,,,,
Alfonso Cocktail,,Champagne flute,Dubonnet,"On a bev nap, soak sugar cube in",Small orange twist (discard),
,,,Perrier Jouet N.V,Angostura bitters and place in flute,,
,,,White sugar cube,add Dubonnet and top with champagne,,
,,,Angostura bitters,and garnish,,
,,,,,,
East India Cocktail,,Small Coupette,Martell V.S.O.P,"Combine Cognac, Triple sec, ",Marasca cherry,
,,,Merlet Triple Sec,"maraschino, grenadine, bitters in",,
,,,Maraschino,"mixing glass, stir and strain into",,
,,,Homemade Grenadine,small coupette and garnish,,
,,,Angostura bitters,,,
,,,,,,
Gimlet,,Small Coupette,Beefeater,"Combine Gin, lime cordial and lime",Small lime twist,
,,,Lime cordial,"juice in mixing glass, stir and double",,
,,,lime juice,strain into coupette and garnish,,
,,,,,,
Blood and Sand,,Large Coupette,Chivas 12yr,"Combine Scotch, vermouth, Cherry",No garnish,
,,,Martini Rosso,Heering and orange juice in the shaker,,
,,,Cherry Heering,shake and double strain into coupette,,
,,,Orange juice,,,
,,,,,,
Rusty Nail,,Rocks Glass,Chivas 12yr,Build in rocks glass over cubed ice and,No garnish,
,,,Drambuie,"stir, top up with extra ice",,
,,,,,,
Boulevardier,,Small Coupette,Four Roses small batch,"Combine Bourbon, Campari and",Marasca cherry,
,,,Campari,"Vermouth in mixing glass, stir and",,
,,,Antica Formula,"double strain into coupette, garnish",,
,,,,,,
Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime juice and gomme ",Lime wedge,
,,,Lime juice (fresh),"in shaker, shake and double strain",,
,,,Gomme,into large coupette and garnish,,
,,,,,,
Mulata Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime juice and cacao",Lime wedge,
,,,Lime juice,"in shaker, shake and double strain",,
,,,Creme de Cacao (dark),into large coupette and garnish,,
,,,,,,
El Presidente,,Small Coupette,Havana Barrel Proof,"Combine Rum, vermouth, triple sec",Small orange twist,
,,,Martini Rosso,"grenadine in mixing glass, stir and",,
,,,Merlet Triple Sec,double strain into small coupette,,
,,,Homemade grenadine,and garnish,,
,,,,,,
Hemmingway Daiquiri,,Large Coupette,Havana 3yr,"Combine Rum, lime and grapefruit ",No garnish,
,,,Lime juice (fresh),"juice, Maraschino and gomme in shaker",,
,,,Grapefruit juice (fresh),shake and double strain into,,
,,,Marashino,large coupette ,,
,,,Gomme,,,
,,,,,,
Santiago Daisy,,Wine Glass,Havana 3yr,"Combine Rum, lime juice and gomme",Mint Sprig,
,,,Lime juice (fresh),"in shaker, shake and strain into wine",,
,,,Yellow Chartreuse,glass over cracked ice and float ,,
,,,Gomme,"Yellow Chartreuse on top, garnish",,
,,,,,,
Russian Spring Punch,,Hi-Ball,Wyborowa,"Combine Vodka, cassis, lemon juice",Lemon slice,
,,,Merlet Cassis,"and gomme in shaker, shake and ",,
,,,Lemon juice,double strain into Hi-Ball over cubed ice,,
,,,Gomme,and top with champagne and garnish,,
,,,Perrier Jouet,,,
,,,,,,
Consulate,,Small Coupette,El Dorado 5yr,"Combine rum, vermouth, sherry and",Small orange twist,
,,,Martini Rosso,"peche in shaker, stir over cubed ice",,
,,,Tio Pepe,and double strain into small coupette,,
,,,Merlet Peche,and garnish,,
,,,,,,
Oh Gosh,,Large Coupette,Havana 3yr,"Combine rum, lime juice, triple sec ",Large lemon twist,
,,,Lime juice,"and gomme in shaker, shake hard over",,
,,,Merlet Triple Sec,cubed ice and double strain into,,
,,,Gomme,coupette and garnish,,
,,,,,,
Rainbeau Sour,,Large Coupette,Pineau de Charente,"Combine, Pineau, Abricot, lemon juice",No garnish,
,,,Briotette Abricot,"egg white and gomme in shaker, ",,
,,,Lemon juice,"dry shake, shake over cubed ice",,
,,,Egg White,and strain into coupette,,
,,,Gomme,,,
,,,,,,
Sicilian Sour,,Large Coupette,Amaretto Disaranno,"Combine Amaretto, Abricot, lemon",Lemon slice + Angostura bitters,
,,,Briotette Abricot,"juice, egg white, gomme and bitters",,
,,,Lemon juice,"in shaker, dry shake and shake over ",,
,,,Egg White,cubed ice and strain into coupette,,
,,,Gomme,garnish with Angostura bitters in,,
,,,Angostura Bitters,shape of a star + lemon slice,,
,,,,,,
Spitfire,,Large Coupette,Merlet 69 House Cognac ,"Combine Cognac, Peche, lemon juice",White wine float,
,,,Merlet Peche,egg white and gomme in shaker,,
,,,Lemon juice,"dry shake, shake over cubed ice",,
,,,Egg White,"and strain into coupette, garnish",,
,,,Gomme,with white wine float,,
,,,White wine,,,
,,,,,,
Serafin,,Hi-Ball,Ocho Blanco,"Build in Hi-Ball over cubed ice, add",Lime wedge,
,,,Merlet Poire,"tequila and poire, lime juice and gomme",,
,,,Lime juice,"stir and top ice, top ginger beer and ",,
,,,Gomme,"stir gently to mix, garnish",,
,,,Fever Tree Ginger Beer,,,
,,,,,,
Wink,,Small Rocks gls,Beefeater,"Absinthe rinse the rocks glass,",Small lemon twist (discard),
,,,Merlet Triple Sec,"combine Gin, triple sec, gomme",,
,,,Gomme,"and bitters, shake over cubed ice and",,
,,,Peychaud Bitters,double strain into rocks glass (no ice),,
,,,Pernod Absinthe,and garnish,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,